t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.52899,0.589179,0.586148,121.701,108.209,188.715,0.387,5.67896
30.0,98.0,0.043113,0.0,0.0,17.4037,0.0,180.0,37.193,2.06436
32.0,96.0,0.10473,0.0,0.0,20.3197,0.0,180.0,2.233,5.90391
34.0,95.0,0.133013,0.0,0.0,21.6979,0.0,180.0,1.621,8.14431
36.0,93.0,0.185681,0.0,0.0,24.3504,0.0,180.0,1.538,11.8361
38.0,91.0,0.235483,0.0,0.0,26.8506,0.0,180.0,1.978,15.2044
40.0,91.0,0.23746,0.0,0.0,26.973,0.0,180.0,1.011,15.2786
42.0,92.0,0.227692,0.0,0.0,26.0895,0.0,180.0,0.336,13.9173
44.0,92.0,0.220491,0.0,0.0,25.7648,0.0,180.0,0.448,13.308
46.0,94.0,0.164381,0.0,0.0,23.0771,0.0,180.0,1.127,9.85045
48.0,96.0,0.125899,0.0,0.0,20.5895,0.0,180.0,1.981,6.40028
