t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.0,0.0,0.0,57.0,13.0,311.0,23.916,0.0
32.0,0.0,0.080161,0.06133,0.054876,59.4957,12.8402,311.039,0.992,4.08839
34.0,0.0,0.119758,0.094041,0.096464,61.0628,12.7401,311.011,1.539,6.57
36.0,0.0,0.158874,0.122753,0.125746,62.8013,12.6096,310.883,1.281,9.35646
38.0,0.0,0.217193,0.159007,0.157329,64.9306,12.4424,310.978,1.442,12.6225
40.0,0.0,0.249363,0.174117,0.17282,66.4484,12.3626,310.919,1.391,14.9747
42.0,0.0,0.22277,0.171354,0.165401,65.6761,12.4249,311.059,0.274,13.564
44.0,0.0,0.226122,0.16137,0.166386,65.5148,12.4154,311.056,0.364,12.9569
46.0,0.0,0.17923,0.141039,0.133718,63.761,12.506,311.133,0.716,10.5914
48.0,0.0,0.123733,0.109304,0.102453,61.6519,12.6788,310.944,1.437,7.33161
