t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.529894,0.5812,0.587849,120.898,108.384,189.364,0.627,5.86974
26.0,49.0,0.496273,0.58179,0.575271,51.1714,41.2907,188.558,24.566,5.32484
28.0,46.0,0.563219,0.591873,0.572608,51.305,35.9559,184.227,6.256,9.09628
30.0,48.0,0.549964,0.608203,0.598403,54.5994,40.7844,187.588,1.539,10.3501
32.0,44.0,0.596077,0.630224,0.616165,55.2078,35.3547,187.198,1.303,14.1281
34.0,47.0,0.589282,0.634931,0.634705,57.9438,39.9963,188.581,1.191,14.9792
36.0,44.0,0.628717,0.624176,0.618366,56.8863,34.8832,186.118,0.71,16.9897
38.0,47.0,0.590241,0.637095,0.63232,58.5503,39.7235,188.702,0.088,15.4429
40.0,44.0,0.609958,0.609768,0.606939,56.5298,35.0051,184.66,0.173,15.2766
42.0,47.0,0.588541,0.626759,0.627802,57.0307,40.2642,187.828,0.278,13.3121
44.0,43.0,0.571101,0.600202,0.596254,54.339,35.2213,185.175,0.496,11.5694
46.0,48.0,0.528235,0.584904,0.582083,53.3523,41.1422,188.303,1.119,8.1083
48.0,45.0,0.524198,0.57207,0.56532,49.8129,35.8306,184.449,1.601,7.04583
