t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.0,0.0,0.0,235.0,0.0,180.0,40.426,0.0
32.0,0.0,0.076559,0.0,0.0,231.942,0.0,180.0,1.213,4.44708
34.0,0.0,0.132665,0.0,0.0,230.027,0.0,180.0,1.903,7.1378
36.0,1.0,0.163207,0.0,0.0,227.889,0.0,180.0,1.569,10.1683
38.0,1.0,0.228522,0.0,0.0,225.346,0.0,180.0,1.77,13.6136
40.0,1.0,0.254306,0.0,0.0,223.448,0.0,180.0,1.721,16.245
42.0,1.0,0.248109,0.0,0.0,224.407,0.0,180.0,0.341,14.7378
44.0,1.0,0.237136,0.0,0.0,224.64,0.0,180.0,0.44,14.0303
46.0,1.0,0.201737,0.0,0.0,226.735,0.0,180.0,0.888,11.5579
48.0,0.0,0.140817,0.0,0.0,229.308,0.0,180.0,1.765,7.98069
50.0,0.0,0.099909,0.0,0.0,231.178,0.0,180.0,1.725,5.28769
52.0,0.0,0.044655,0.0,0.0,233.28,0.0,180.0,1.558,2.47649
54.0,0.0,0.000781,0.0,0.0,234.992,0.0,180.0,0.685,0.00885417
