t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.0,0.0,0.0,54.0,33.0,291.0,24.609,0.0
32.0,0.0,0.07376,0.081556,0.067462,56.5256,32.5453,291.051,1.004,4.13892
34.0,0.0,0.121378,0.138874,0.114461,58.1405,32.2222,290.978,1.57,6.66493
36.0,0.0,0.163958,0.171663,0.14283,59.9019,31.9273,291.014,1.304,9.42236
38.0,0.0,0.210071,0.224124,0.18355,62.0373,31.5087,290.993,1.459,12.7322
40.0,0.0,0.24995,0.266147,0.208198,63.6086,31.2024,291.038,1.428,15.0619
42.0,0.0,0.214966,0.241162,0.191001,62.7956,31.3841,290.962,0.277,13.7264
44.0,0.0,0.216946,0.237525,0.185899,62.6379,31.3878,291.047,0.374,13.1349
46.0,0.0,0.181306,0.199688,0.155845,60.8741,31.7107,291.081,0.73,10.7647
48.0,0.0,0.123062,0.146519,0.121264,58.7444,32.1276,290.992,1.457,7.43425
50.0,0.0,0.086546,0.103694,0.083715,57.1753,32.4178,291.021,1.427,4.94106
52.0,0.0,0.04929,0.055186,0.047079,55.4307,32.7387,291.013,1.287,2.31344
54.0,0.0,0.000597,0.0,0.0,54.0084,33.0,291.0,0.571,0.00885417
