t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
5.0,0.0,0.555331,0.61171,0.603847,121.805,107.939,188.819,4.438,6.33984
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.234,5.85427
15.0,0.0,0.5605,0.612253,0.612618,122.213,108.184,189.746,0.268,5.92021
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.168,5.86668
25.0,0.0,0.545813,0.62202,0.61852,121.914,107.96,189.326,0.143,5.328
30.0,0.0,0.0,0.0,0.0,54.0,33.0,291.0,24.594,0.0
35.0,0.0,0.146131,0.14748,0.121618,58.7304,32.1297,291.032,1.877,7.64901
40.0,0.0,0.24995,0.266147,0.208198,63.6086,31.2024,291.038,2.728,15.0619
45.0,0.0,0.210647,0.219116,0.174502,62.0945,31.4921,291.049,0.596,12.4619
50.0,0.0,0.086546,0.103694,0.083715,57.1753,32.4178,291.021,1.474,4.94106
