t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.550587,0.610375,0.602947,121.989,107.953,189.444,0.105,5.61437
16.0,40.0,0.689732,0.765749,0.781406,33.3748,42.4208,196.448,31.438,2.03639
18.0,36.0,0.668646,0.771135,0.785754,33.7363,46.176,192.043,4.061,2.46347
20.0,37.0,0.650722,0.77952,0.797075,32.8571,48.8776,187.5,0.261,2.89674
22.0,42.0,0.632915,0.793107,0.815214,30.7126,50.6861,180.418,0.265,3.43615
24.0,50.0,0.627482,0.811193,0.842265,27.6148,51.661,171.894,0.331,4.10844
26.0,59.0,0.60866,0.836093,0.862092,23.6564,52.4377,161.828,0.352,4.4425
28.0,65.0,0.576909,0.853018,0.872773,20.6585,54.0944,146.09,0.093,4.74937
30.0,0.0,0.50746,0.572218,0.567861,120.792,108.938,189.869,34.455,4.94653
32.0,0.0,0.539379,0.616033,0.600795,122.042,107.84,189.441,3.429,5.47134
34.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.571,5.78507
36.0,0.0,0.553255,0.621761,0.610839,121.911,107.91,189.355,0.725,6.05052
38.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
40.0,100.0,0.0,0.0,0.0,16.0,0.0,180.0,36.828,0.0
42.0,97.0,0.082401,0.0,0.0,19.0694,0.0,180.0,1.216,4.45059
44.0,96.0,0.126619,0.0,0.0,20.9917,0.0,180.0,1.892,7.14905
46.0,94.0,0.175496,0.0,0.0,23.1186,0.0,180.0,1.573,10.0997
48.0,92.0,0.219235,0.0,0.0,25.7368,0.0,180.0,1.769,13.6449
50.0,91.0,0.263447,0.0,0.0,27.6169,0.0,180.0,1.712,16.2736
52.0,92.0,0.236091,0.0,0.0,26.659,0.0,180.0,0.334,14.7123
54.0,92.0,0.228504,0.0,0.0,26.4379,0.0,180.0,0.442,14.0183
56.0,93.0,0.195774,0.0,0.0,24.3162,0.0,180.0,0.88,11.4983
