t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,2.0,0.517741,0.573867,0.563665,86.4845,72.0626,188.586,11.598,3.71326
29.9,100.0,0.325791,0.370964,0.370019,19.4137,3.37771,190.75,11.159,0.0
31.9,97.0,0.081565,0.0,0.0,19.0613,0.0,180.0,2.45,4.30276
33.9,96.0,0.122687,0.0,0.0,20.7478,0.0,180.0,0.556,6.62799
35.9,94.0,0.182034,0.0,0.0,23.1184,0.0,180.0,1.564,9.81903
37.9,92.0,0.216199,0.0,0.0,25.6803,0.0,180.0,1.838,13.0783
39.9,90.0,0.27592,0.0,0.0,27.4331,0.0,180.0,1.658,15.629
41.9,91.0,0.239143,0.0,0.0,26.6198,0.0,180.0,0.333,14.3487
43.9,91.0,0.241843,0.0,0.0,26.4198,0.0,180.0,0.378,13.9217
45.9,93.0,0.221331,0.0,0.0,24.3498,0.0,180.0,0.883,11.3085
47.9,95.0,0.154552,0.0,0.0,21.7377,0.0,180.0,1.733,7.81089
49.9,96.0,0.113697,0.0,0.0,20.0203,0.0,180.0,1.658,5.39616
51.9,98.0,0.052021,0.0,0.0,17.7181,0.0,180.0,1.545,2.44592
53.9,99.0,0.024062,0.0,0.0,16.2621,0.0,180.0,0.785,0.374913
