t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.543033,0.61149,0.603687,121.827,108.04,189.747,0.782,6.05316
32.0,0.0,0.521687,0.577871,0.574741,122.562,108.554,188.742,0.171,5.93068
34.0,0.0,0.545423,0.611461,0.606683,121.938,108.021,189.818,0.861,5.52792
36.0,0.0,0.521236,0.583583,0.588401,120.988,108.344,189.233,0.507,5.82628
38.0,0.0,0.549385,0.615055,0.60973,121.835,107.925,189.401,0.145,5.64696
40.0,0.0,0.518738,0.588525,0.584582,121.478,108.296,189.235,0.326,5.65582
42.0,0.0,0.548651,0.615223,0.605437,121.953,107.975,190.034,0.618,5.84653
44.0,0.0,0.53183,0.585381,0.584728,122.528,108.328,189.556,0.204,6.0758
