t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,52.0,0.393756,0.53896,0.531634,42.2325,43.0917,189.187,27.256,2.24087
32.0,50.0,0.476201,0.591815,0.581871,46.1091,42.0268,188.677,3.523,6.31113
34.0,50.0,0.498785,0.615073,0.612816,47.0234,41.8365,188.248,1.9,9.09939
36.0,49.0,0.534613,0.636699,0.627971,49.4751,41.2356,188.489,1.831,11.972
38.0,47.0,0.558579,0.644022,0.633884,52.4145,40.8473,188.44,1.541,15.3178
40.0,47.0,0.591582,0.662145,0.650475,53.2845,40.5956,189.293,0.641,16.6925
42.0,48.0,0.551244,0.642985,0.640188,51.5796,40.8752,188.638,0.285,15.2893
44.0,48.0,0.569709,0.643205,0.643066,52.5362,40.6733,188.626,0.096,14.9078
46.0,48.0,0.518765,0.610814,0.608293,50.4494,41.4903,188.017,0.266,12.5329
48.0,49.0,0.52652,0.615421,0.606811,48.5798,41.6709,189.015,0.856,10.2156
50.0,48.0,0.482762,0.568094,0.569317,47.6251,42.2129,187.946,0.8,7.64802
52.0,50.0,0.470411,0.566131,0.569556,45.0435,42.6221,188.418,2.11,5.07906
54.0,51.0,0.405687,0.532094,0.533979,42.3093,42.8692,188.866,2.027,2.72019
